atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
406,eclipse-cover,The Eclipse Engine,5,41,shadow-caster,The Shadow Caster,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:identity | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
407,looming-proximity,The Looming Proximity Engine,5,41,shadow-caster,The Shadow Caster,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:identity | job:perspective | job:regulation | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
408,penumbra-blur,The Penumbra Engine,5,41,shadow-caster,The Shadow Caster,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:focus | job:identity | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
409,sun-dial-passage,The Sun Dial Engine,5,41,shadow-caster,The Shadow Caster,playable,composition-pass,seeded,hold,hold,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:identity | job:perspective | job:temporal | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
410,luminous-core,The Luminous Core Engine,5,41,shadow-caster,The Shadow Caster,playable,composition-pass,seeded,hold,trigger,distortion,high,field-recompose,reorientation,review,no,review,yes,6,composition-sensitive,high-heat,medium,low,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:identity | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
411,penrose-stair,The Penrose Stair Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,reshape,paradox,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,low-heat,medium,medium,high,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:pinch | job:identity | job:perspective | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
412,mobius-slice,The Möbius Slice Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,guide,paradox,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:identity | job:perspective | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
413,necker-cube,The Necker Cube Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,hold,paradox,high,field-recompose,reorientation,review,yes,yes,yes,6,composition-sensitive,low-heat,medium,high,high,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:breath | input:hold | job:identity | job:perspective | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
414,impossible-tribar,The Impossible Triangle Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,guide,paradox,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:gravitational | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
415,droste-recursion,The Droste Recursion Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,reshape,paradox,high,field-recompose,reorientation,review,review,yes,yes,6,composition-sensitive,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:identity | job:perspective | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
416,closed-circuit-drain,The Closed Circuit Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,trace,paradox,high,field-recompose,reorientation,review,review,yes,yes,6,composition-sensitive,low-heat,medium,medium,high,high,13,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:draw | job:identity | job:perspective | job:regulation | physics:acoustic | physics:subtractive | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
417,ouroboros-pry,The Ouroboros Pry Engine,5,42,escher-loop,The Escher Loop,hero-grade,hero-pass,seeded,curation-ready,reshape,paradox,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,low-heat,high,high,high,high,6,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:low-heat | input:drag | input:pinch | job:agency | job:identity | job:perspective | physics:acoustic | physics:gravitational | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
418,klein-escape,The Klein Escape Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,guide,paradox,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,low-heat,medium,medium,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:observe | job:identity | job:perspective | job:release | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
419,tesseract-unfold,The Tesseract Fold Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,reshape,paradox,high,field-recompose,reorientation,review,review,yes,yes,6,composition-sensitive,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:focus | job:identity | job:perspective | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
420,gordian-slice,The Gordian Slice Engine,5,42,escher-loop,The Escher Loop,playable,composition-pass,seeded,hold,redirect,paradox,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:swipe | job:agency | job:boundary | job:perspective | physics:gravitational | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
421,paradigm-flip,The Paradigm Flip Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,tilt,entanglement,high,field-recompose,reorientation,review,review,no,review,7,composition-sensitive,low-heat,medium,medium,low,medium,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:tilt | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:tilt | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
422,buoyancy-shift,The Buoyancy Shift Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,clear,entanglement,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,broad,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:scrub | job:agency | job:perspective | job:regulation | physics:fluid | physics:gravitational | physics:network | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
423,kinetic-pulley,The Kinetic Pulley Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,trace,entanglement,high,seal,closure,review,review,review,yes,7,composition-sensitive,broad,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | input:draw | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
424,terminal-velocity-hover,The Terminal Velocity Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,reshape,weight,high,field-recompose,reorientation,review,yes,no,yes,7,composition-sensitive,broad,medium,high,low,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:pinch | job:agency | job:boundary | job:regulation | physics:acoustic | physics:gravitational | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
425,centrifugal-floor,The Centrifugal Floor Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
426,archimedes-lift,The Archimedes Lift Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,witness,entanglement,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:observe | job:boundary | job:regulation | job:release | physics:fluid | physics:gravitational | physics:network | resolution:field-recompose | sensor:haptics | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
427,magnetic-floor,The Magnetic Floor Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,trigger,entanglement,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
428,zero-g-release,The Zero-G Release Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,trigger,entanglement,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
429,orbit-escape,The Orbit Escape Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,redirect,entanglement,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
430,atlas-shift,The Atlas Shift Engine,5,43,gravity-inverter,The Gravity Inverter,playable,composition-pass,seeded,hold,reshape,weight,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,high-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | input:pinch | job:agency | job:perspective | job:regulation | physics:acoustic | physics:gravitational | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
431,echolocation-ping,The Echolocation Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,guide,pressure,high,seal,closure,review,review,no,yes,7,composition-sensitive,high-heat,medium,medium,low,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:drag | input:tap | job:connection | job:perspective | job:regulation | physics:acoustic | physics:subtractive | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
432,frequency-sweep,The Frequency Sweep Engine,5,44,depth-sounder,The Depth Sounder,hero-grade,hero-pass,seeded,curation-ready,hold,pressure,high,seal,closure,yes,yes,review,yes,8,hero-candidate,high-heat,high,high,medium,high,7,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:hold | input:observe | job:connection | job:perspective | job:regulation | physics:acoustic | physics:subtractive | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
433,blind-navigation,The Blind Navigation Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,yes,review,yes,7,composition-sensitive,low-heat,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:connection | job:regulation | physics:acoustic | physics:optical | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
434,doppler-approach,The Doppler Approach Engine,5,44,depth-sounder,The Depth Sounder,hero-grade,hero-pass,seeded,curation-ready,trigger,weight,high,seal,closure,yes,yes,no,yes,8,hero-candidate,high-heat,high,high,low,high,5,low,,complexity:simple | fit:insight-low | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:connection | job:regulation | physics:acoustic | physics:gravitational | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
435,thermocline-descent,The Thermocline Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,yes,yes,7,composition-sensitive,broad,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | job:temporal | physics:acoustic | physics:network | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
436,submarine-cable,The Submarine Cable Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,trigger,constraint,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:connection | job:perspective | job:regulation | physics:gravitational | physics:structural | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
437,bathysphere-dive,The Bathysphere Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,guide,pressure,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:connection | job:perspective | job:regulation | physics:acoustic | physics:gravitational | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
438,silent-running,The Silent Running Engine,5,44,depth-sounder,The Depth Sounder,hero-grade,hero-pass,seeded,curation-ready,hold,pressure,high,seal,closure,yes,yes,no,yes,8,hero-candidate,high-heat,high,high,low,high,1,low,,complexity:simple | fit:insight-low | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:breath | input:hold | job:connection | job:regulation | job:release | physics:acoustic | physics:gravitational | physics:thermal | resolution:seal | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
439,false-bottom-net,The False Bottom Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,witness,entanglement,high,seal,closure,review,review,yes,yes,6,composition-sensitive,broad,medium,medium,high,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:observe | job:connection | job:perspective | job:regulation | physics:acoustic | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
440,trench-beacon,The Trench Beacon Engine,5,44,depth-sounder,The Depth Sounder,playable,composition-pass,seeded,hold,trigger,weight,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:connection | job:perspective | job:regulation | physics:acoustic | physics:gravitational | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
441,tesseract-unfolding,The Tesseract Unfolding Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,reshape,paradox,high,field-recompose,reorientation,review,review,yes,yes,6,composition-sensitive,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:identity | job:perspective | job:release | physics:gravitational | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
442,z-axis-flatten,The Z-Axis Flatten Engine,5,45,tesseract-geometry,The Tesseract,hero-grade,hero-pass,seeded,curation-ready,hold,entanglement,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,4,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:hold | job:identity | job:perspective | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
443,cross-section-slice,The Cross-Section Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,redirect,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:swipe | job:focus | job:identity | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
444,orthographic-shift,The Orthographic Shift Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,trigger,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:focus | job:identity | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
445,spatial-clipping,The Spatial Clipping Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:boundary | job:identity | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
446,hidden-face-expose,The Hidden Face Engine,5,45,tesseract-geometry,The Tesseract,hero-grade,hero-pass,seeded,curation-ready,guide,distortion,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,9,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:hold | job:identity | job:perspective | job:release | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
447,vertex-snap-plane,The Vertex Snap Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:identity | job:perspective | job:release | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
448,dimensional-extrusion,The Dimensional Extrusion Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,low-heat,medium,medium,high,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:pinch | job:identity | job:perspective | job:release | physics:gravitational | physics:optical | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
