number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
416,closed-circuit-drain,The Closed Circuit Engine,5,42,The Escher Loop,canvas,full,drawable,haptics,none,false,true,6,composition-sensitive,simple,draw,visual|touch|haptics,field-recompose,perspective|regulation|identity,topological|subtractive|acoustic,low-heat,medium,medium,high,high,13,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:draw|job:identity|job:perspective|job:regulation|physics:acoustic|physics:subtractive|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
417,ouroboros-pry,The Ouroboros Pry Engine,5,42,The Escher Loop,canvas,full,draggable|pinchable,haptics,none,true,true,8,hero-candidate,simple,pinch|drag,visual|touch|haptics,field-recompose,identity|perspective|agency,topological|acoustic|gravitational,low-heat,high,high,high,high,6,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:pinch|job:agency|job:identity|job:perspective|physics:acoustic|physics:gravitational|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
418,klein-escape,The Klein Escape Engine,5,42,The Escher Loop,canvas,full,draggable|observable,haptics,none,false,true,7,composition-sensitive,simple,drag|observe,visual|touch|haptics,field-recompose,release|perspective|identity,topological|network|acoustic,low-heat,medium,medium,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:observe|job:identity|job:perspective|job:release|physics:acoustic|physics:network|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
419,tesseract-unfold,The Tesseract Fold Engine,5,42,The Escher Loop,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,focus|perspective|identity,topological|network|acoustic,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:focus|job:identity|job:perspective|physics:acoustic|physics:network|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
420,gordian-slice,The Gordian Slice Engine,5,42,The Escher Loop,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,boundary|perspective|agency,topological|network|gravitational,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:agency|job:boundary|job:perspective|physics:gravitational|physics:network|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
421,paradigm-flip,The Paradigm Flip Engine,5,43,The Gravity Inverter,canvas,full,gyroscopic,haptics|gyroscope,none,false,true,7,composition-sensitive,simple,tilt,visual|haptics|tilt,field-recompose,boundary|regulation|agency,gravitational|network|subtractive,low-heat,medium,medium,low,medium,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:tilt|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
422,buoyancy-shift,The Buoyancy Shift Engine,5,43,The Gravity Inverter,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,field-recompose,perspective|regulation|agency,gravitational|fluid|network,broad,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:scrub|job:agency|job:perspective|job:regulation|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
423,kinetic-pulley,The Kinetic Pulley Engine,5,43,The Gravity Inverter,canvas,full,drawable|draggable,haptics,none,false,true,7,composition-sensitive,simple,draw|drag,visual|touch|haptics,seal,boundary|regulation|agency,gravitational|network|structural,broad,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|input:draw|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
424,terminal-velocity-hover,The Terminal Velocity Engine,5,43,The Gravity Inverter,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,regulation|agency|boundary,gravitational|acoustic,broad,medium,high,low,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:pinch|job:agency|job:boundary|job:regulation|physics:acoustic|physics:gravitational|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
425,centrifugal-floor,The Centrifugal Floor Engine,5,43,The Gravity Inverter,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,regulation|boundary|agency,gravitational|network|structural,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
426,archimedes-lift,The Archimedes Lift Engine,5,43,The Gravity Inverter,canvas,full,observable,haptics,none,false,true,6,composition-sensitive,simple,observe,visual|haptics,field-recompose,boundary|regulation|release,gravitational|fluid|network,broad,medium,medium,medium,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:observe|job:boundary|job:regulation|job:release|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:visual
427,magnetic-floor,The Magnetic Floor Engine,5,43,The Gravity Inverter,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,boundary|regulation|agency,gravitational|network|subtractive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
428,zero-g-release,The Zero-G Release Engine,5,43,The Gravity Inverter,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,regulation|agency|boundary,gravitational|network|subtractive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
429,orbit-escape,The Orbit Escape Engine,5,43,The Gravity Inverter,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,boundary|regulation|agency,gravitational|network|subtractive,broad,medium,medium,low,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:swipe|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
430,atlas-shift,The Atlas Shift Engine,5,43,The Gravity Inverter,canvas,full,holdable|pinchable,haptics,none,false,true,7,composition-sensitive,simple,pinch|hold,visual|touch|haptics,field-recompose,perspective|regulation|agency,gravitational|acoustic,high-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|input:pinch|job:agency|job:perspective|job:regulation|physics:acoustic|physics:gravitational|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
431,echolocation-ping,The Echolocation Engine,5,44,The Depth Sounder,canvas,full,tappable|draggable,haptics,none,false,true,7,composition-sensitive,simple,drag|tap,visual|touch|haptics,seal,regulation|connection|perspective,acoustic|subtractive|thermal,high-heat,medium,medium,low,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:drag|input:tap|job:connection|job:perspective|job:regulation|physics:acoustic|physics:subtractive|physics:thermal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
432,frequency-sweep,The Frequency Sweep Engine,5,44,The Depth Sounder,canvas,full,holdable|observable,haptics,none,true,true,8,hero-candidate,simple,hold|observe,visual|touch|haptics,seal,regulation|connection|perspective,subtractive|acoustic|thermal,high-heat,high,high,medium,high,7,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|input:observe|job:connection|job:perspective|job:regulation|physics:acoustic|physics:subtractive|physics:thermal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
433,blind-navigation,The Blind Navigation Engine,5,44,The Depth Sounder,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,boundary|regulation|connection,optical|structural|acoustic,low-heat,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:connection|job:regulation|physics:acoustic|physics:optical|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
434,doppler-approach,The Doppler Approach Engine,5,44,The Depth Sounder,canvas,full,tappable|observable,haptics,none,true,true,8,hero-candidate,simple,tap|observe,visual|touch|haptics,seal,regulation|agency|connection,acoustic|gravitational|subtractive,high-heat,high,high,low,high,5,low,,complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:observe|input:tap|job:agency|job:connection|job:regulation|physics:acoustic|physics:gravitational|physics:subtractive|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
435,thermocline-descent,The Thermocline Engine,5,44,The Depth Sounder,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,regulation|temporal|boundary,thermal|acoustic|network,broad,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:boundary|job:regulation|job:temporal|physics:acoustic|physics:network|physics:thermal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
436,submarine-cable,The Submarine Cable Engine,5,44,The Depth Sounder,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,seal,regulation|connection|perspective,gravitational|structural|subtractive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:connection|job:perspective|job:regulation|physics:gravitational|physics:structural|physics:subtractive|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
437,bathysphere-dive,The Bathysphere Engine,5,44,The Depth Sounder,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,regulation|connection|perspective,thermal|acoustic|gravitational,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:connection|job:perspective|job:regulation|physics:acoustic|physics:gravitational|physics:thermal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
438,silent-running,The Silent Running Engine,5,44,The Depth Sounder,canvas,full,holdable,haptics,drives,true,true,8,hero-candidate,simple,hold|breath,visual|touch|breath|haptics,seal,regulation|release|connection,acoustic|thermal|gravitational,high-heat,high,high,low,high,1,low,,complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:hold|job:connection|job:regulation|job:release|physics:acoustic|physics:gravitational|physics:thermal|resolution:seal|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
439,false-bottom-net,The False Bottom Engine,5,44,The Depth Sounder,canvas,full,observable,haptics,none,false,true,6,composition-sensitive,simple,observe,visual|haptics,seal,regulation|connection|perspective,gravitational|network|acoustic,broad,medium,medium,high,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:observe|job:connection|job:perspective|job:regulation|physics:acoustic|physics:gravitational|physics:network|resolution:seal|sensor:haptics|sensor:visual
440,trench-beacon,The Trench Beacon Engine,5,44,The Depth Sounder,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,seal,regulation|connection|perspective,subtractive|acoustic|gravitational,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:connection|job:perspective|job:regulation|physics:acoustic|physics:gravitational|physics:subtractive|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
441,tesseract-unfolding,The Tesseract Unfolding Engine,5,45,The Tesseract,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,identity|perspective|release,topological|gravitational|network,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:identity|job:perspective|job:release|physics:gravitational|physics:network|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
442,z-axis-flatten,The Z-Axis Flatten Engine,5,45,The Tesseract,canvas,full,holdable|pressure-sensitive,haptics,none,true,true,8,hero-candidate,simple,hold,visual|touch|haptics,field-recompose,temporal|identity|perspective,temporal|gravitational|network,high-heat,high,high,high,high,4,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|job:identity|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
443,cross-section-slice,The Cross-Section Engine,5,45,The Tesseract,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,focus|identity|perspective,gravitational|network|optical,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:focus|job:identity|job:perspective|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
444,orthographic-shift,The Orthographic Shift Engine,5,45,The Tesseract,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,perspective|identity|focus,network|gravitational|optical,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:focus|job:identity|job:perspective|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
445,spatial-clipping,The Spatial Clipping Engine,5,45,The Tesseract,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,boundary|identity|perspective,gravitational|network|optical,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:boundary|job:identity|job:perspective|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
446,hidden-face-expose,The Hidden Face Engine,5,45,The Tesseract,canvas,full,draggable|holdable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,field-recompose,identity|perspective|release,optical|gravitational|network,high-heat,high,high,high,high,9,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:identity|job:perspective|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
447,vertex-snap-plane,The Vertex Snap Engine,5,45,The Tesseract,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,identity|perspective|release,gravitational|network|optical,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:identity|job:perspective|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
448,dimensional-extrusion,The Dimensional Extrusion Engine,5,45,The Tesseract,canvas,full,draggable|pinchable,haptics,none,false,true,7,composition-sensitive,simple,pinch|drag,visual|touch|haptics,field-recompose,identity|perspective|release,gravitational|optical|structural,low-heat,medium,medium,high,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:pinch|job:identity|job:perspective|job:release|physics:gravitational|physics:optical|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
449,origami-tension,The Origami Tension Engine,5,45,The Tesseract,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,identity|perspective|release,optical|gravitational|network,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:identity|job:perspective|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
450,master-net-print,The Master Net Engine,5,45,The Tesseract,canvas,full,holdable,haptics,none,false,true,6,composition-sensitive,simple,hold,visual|touch|haptics,seal,perspective|identity|release,optical|topological|gravitational,high-heat,medium,medium,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:identity|job:perspective|job:release|physics:gravitational|physics:optical|physics:topological|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
451,polarized-lens,The Polarized Lens Engine,5,46,The Blind Spot,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,focus|perspective|agency,optical|subtractive|thermal,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
452,negative-space-reveal,The Negative Space Reveal Engine,5,46,The Blind Spot,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,focus|perspective|agency,optical|subtractive|thermal,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
453,redaction-burn,The Redaction Burn Engine,5,46,The Blind Spot,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,focus|agency|perspective,optical|subtractive|thermal,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
454,camouflage-parallax,The Camouflage Parallax Engine,5,46,The Blind Spot,canvas,full,gyroscopic,haptics|gyroscope,none,true,true,8,hero-candidate,simple,tilt,visual|haptics|tilt,field-recompose,perspective|focus|agency,optical|subtractive|network,low-heat,high,high,high,medium,7,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:tilt|job:agency|job:focus|job:perspective|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
455,macula-peripheral,The Macula Engine,5,46,The Blind Spot,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective|agency|focus,optical|subtractive|network,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
456,chromatic-filter,The Chromatic Filter Engine,5,46,The Blind Spot,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,focus|perspective|agency,optical|subtractive|thermal,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
457,focal-length-shift,The Focal Length Engine,5,46,The Blind Spot,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,field-recompose,regulation|focus|perspective,optical|subtractive|network,low-heat,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:scrub|job:focus|job:perspective|job:regulation|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
458,uv-revelation,The UV Revelation Engine,5,46,The Blind Spot,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective|agency|focus,optical|subtractive|thermal,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
459,mirror-flip-hypocrisy,The Mirror Flip Engine,5,46,The Blind Spot,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective|agency|focus,optical|subtractive|thermal,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:optical|physics:subtractive|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
460,ego-strip,The Ego Strip Engine,5,46,The Blind Spot,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,focus|perspective|agency,optical|subtractive|network,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:agency|job:focus|job:perspective|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
461,perfect-symmetry,The Perfect Symmetry Engine,5,47,The Mirror World,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,identity|perspective|boundary,optical|acoustic|fluid,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:identity|job:perspective|physics:acoustic|physics:fluid|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
462,tethered-avatar,The Tethered Avatar Engine,5,47,The Mirror World,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,identity|perspective|agency,optical|network|acoustic,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:identity|job:perspective|physics:acoustic|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
463,doppelganger-merge,The Doppelgänger Engine,5,47,The Mirror World,canvas,full,draggable|observable,haptics,none,true,true,8,hero-candidate,simple,drag|observe,visual|touch|haptics,field-recompose,identity|perspective|boundary,optical|network|acoustic,low-heat,high,high,high,high,8,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:observe|job:boundary|job:identity|job:perspective|physics:acoustic|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
